SURVIVOR;DD/MMM;/YEAR;RESULT;RD;DECEASED;AGE;MV;ALPHA;CITY;STATE/CTY/PROV;COUNTRY;WEIGHT;SOURCE/REMARKS;CHAMPIONSHIP;PRO/AM/TOUGHMAN;TYPE;WHERE;CAUSALITY/LEGAL;;
Frank Langley;20-Sep;1921;KO;4;Edward Francis Prout;26;;prout;Bangor;Maine;USA;Light Heavy (166 lbs);"Fort Wayne (Indiana) News-Sentinel, September 20, 1921; Olean (New York) Evening Times, September 20, 1921; Augusta (Maine) Daily Kennebec Journal, September 21, 1921; Syracuse (New York) Herald, September 24, 1921. Portland (Maine) Press Herald, March 27, 1949. Prout fell through the ropes and died. Cause of death was originally listed as acute dilation of a diseased heart, but the diagnosis was subsequently changed to concussion of the brain."; ;Pro;Brain injury;Ring;; ;
ND;Sep/;1921;KO;;James McDonald;21;;mcdonald;Binghamton;New York;USA;ND;"Oneonta (New York) Daily Star, September 17, 1921; Bridgeport (Connecticut) Telegram, September 17, 1921. McDonald collapsed in the ring. He was taken to the hospital, where surgery was done to release pressure on the brain. Nonetheless, he died on September 15, 1921. Autopsy revealed a rupture of a small blood vessel in the brain."; ;Pro;Brain injury;Ring; ; ;
Al Roberts;9-Nov;1921;Draw;12;Herbert Crossley;20;;crossley;New York;New York;USA;Heavy;New York Times, November 21, 1921, 22. Crossley died on November 20, 1921. Cause of death was septicemia (blood poisoning). Les Darcy and Frank Gotch died of similar causes.; ;Pro;Blood poisoning;Later; ; ;
S. Miller;11-Nov;1921;TKO;2;Thomas Sukovich (Siberian Tom Skikovich);25;;sukovich;Deer Lodge;Montana;USA;ND;"Galveston (Texas) Daily News, November 12, 1921; Oakland (California) Tribune, November 12, 1921; Ancestry.com. Border Crossings: From Canada to U.S., 1895-1956 [database on-line]. The venue was the United War Veterans' Association lodge. Sukovich collapsed during the second round. Cause of death was listed as concussion of the brain. Mechanism of injury was said to be the fall."; ;Pro;Brain injury;Ring;Fall; ;
Jeronimo Alvarez;24-Dec;1921;KO;3;Pedro Terry; ;Y;terry;Cienfuegos;;Cuba;ND;"Manuel Velazquez collection; http://www.boxrec.com";;Pro;;Ring;; ;
ND;24-Dec;1922;Ndec; ;Charles Walter Suckling;13; ;suckling;Balham;London;England;ND;Manchester (England) Guardian, January 4, 1922. The youths were participating in organized athletics at the Haselrigge Road School. Suckling swung, missed, and fell forward, striking his shoulder on a hot water heater. He was taken to the hospital, where he died. Cause of death was attributed to pneumonia. The coroner ruled misadventure.; ;Amateur;Pneumonia;Ring;Misadventure;;
Manny Stosh;ND;1921;KO;;Karl Rayle; ;Y;rayle;ND;;New Zealand;ND;http://www.geocities.com/kiwiboxing/ringdeaths.htm;;Amateur;;Ring;; ;
Willie Devanney;4-Jan;1922;KO;8;Tom Simonetti; ; ;simonetti;Glasgow;Glasgow;Scotland;ND;Melbourne (Australia) Argus, January 5, 1922. Simonetti was knocked out by a blow hard enough to drive his teeth through his tongue. He died in hospital.; ;Pro; ;Ring; ;;
Joe Ritchie;5-Jan;1922;Ndec;3;George Bliss;24;;bliss;Wilkes-Barre;Pennsylvania;USA;ND;"New London (Connecticut) The Day, January 7, 1922; Chicago Daily Tribune, January 7, 1922; Fort Wayne (Indiana) Journal-Gazette, January 13, 1922; Chicago Daily Tribune, January 13, 1922; Titusville (Pennsylvania) Herald, January 13, 1922. Rounds were two minutes each. Following the fight, Bliss walked out of the ring on his own. Next morning, he went to the emergency room.  He was admitted to the hospital, where he died. Cause of death was rib fracture and kidney injury. The ringside physician apparently did not give a thorough examination before the fight, and the coroner's jury, which included two women, recommended that physicians carefully examine all boxers before they entered the ring."; ;Amateur ;Uremia;Ring;Misadventure; ;
Joseph St. Hillaire;23-Jan;1922;KO;4;"Ambrose J. ""Joe"" Melanson";25;;melanson;Boston;Massachusetts;USA;Light;"Boston Daily Globe, January 24, 1922; Fitchburg (Massachusetts) Daily Sentinel, January 24, 1922;  New York Times, January 25, 1922; Boston Daily Globe, January 25, 1922; Year: 1920;Census Place: Boston Ward 2, Suffolk, Massachusetts; Roll: T625_728; Page: 1A; Enumeration District: 24; Image: 649. Ancestry.com. 1920 United States Federal Census [database on-line]. Provo, UT, USA: The Generations Network, Inc., 2005.  Melanson, who came to the USA from Canada in 1908, was a former US national amateur champion at 135 pounds. He entered the contest after another boxer failed to qualify. He was knocked down twice, and the second time, he did not get up. He died at a nearby hospital. Death was attributed to the falls rather than the right hand blows to the head."; ;Pro;Skull fracture;Ring;Fall: Misadventure; ;
"Edward ""Spike"" Boyer";2-Feb;1922;KO;1;Alfonso Hewlett (Sailor Miller);22;;hewlett;Philadelphia;Pennsylvania;USA;ND;"Los Angeles Times, February 3, 1922; New York Times, February 8, 1922; Davenport (Iowa) Democrat and Leader, February 3, 1922. Cause of death was listed as heart disease.";;Pro;Cardiac;Ring;; ;
Willie Devanney;2-Feb;1922;KO;8;Tommy Simmonette;;;simmonette;Glasgow;Glasgow;Scotland;ND;(Glasgow) Scotsman, February 23, 1928. Cause of death was listed as blow on the chin.;;Pro;;Ring;; ;
Eddie Mullen;11-Feb;1922;KO;;Roy Mudd;19;;mudd;Elwood;Indiana;USA;Welter;"(Reno) Nevada State Journal, February 14, 1922; Indianapolis Star, November 18, 1922; Lincoln (Nebraska) State Journal, February 15, 1922; Indianapolis Star, May 20, 1922. Cause of death was brain injury. Mullen was charged with manslaughter, but was acquitted in May 1922."; ;Pro;Brain injury;Ring;Blows: Misadventure; ;
Ray Carter;17-Mar;1922;KO ;4;Charles Havlicek (Terry O'Mallary); ;Y;havilicek;Omaha;Nebraska;USA;Welter;"Lowell (Massachusetts) Sun, March 18, 1922; New York Times, March 18, 1922; San Francisco Chronicle, March 18, 1922; Bismarck (North Dakota) Tribune, March 18, 1922; (Lincoln) Nebraska State Journal, March 18, 1922; (Lincoln) Nebraska State Journal, March 20, 1922. Havilicek was struck in the jaw, and when he collapsed to the floor, he struck the back of his head. His breathing stopped, and 20 minutes later, he was pronounced dead. Meanwhile, the main event went on. Later, the coroner attributed death to paralysis of the respiratory center, and said that the cause was the fall. Carter was released."; ;Pro;Brain injury;Ring;Fall; ;
Bert Lear;18-Mar;1922;KO;12;Jim Dawson; ;Y;dawson;Collie;Western Australia;Australia;ND;Melbourne (Australia) Argus, March 21, 1922. Dawson sagged against the ropes, and his corner threw in the towel. Dawson was taken to the hospital, where he died early next morning. ; ;Pro; ;Ring;;;
ND;24-Mar;1922;KO;;Albert Sidney Groves; ;;groves;Gorefield;Cambridgeshire;England;ND;Kingston (Jamaica) Gleaner, April 25, 1922. Groves fell without being hit. Cause of death was attributed to heart disease.;;Pro;Cardiac;Ring;Unfit; ;
Carl Miller;31-Mar;1922;TKO;7;George Tetzie;24;;tetzie;Eugene;Oregon;USA;Light Heavy;"Portland Oregonian, April 1, 1922, 17; Portland Oregonian, April 2, 1922, 18. About 15 minutes after the fight, Tetzie collapsed. He died soon after. Cause of death was brain injury."; ;Pro;Brain injury;Soon after;; ;
Frankie Pitcher;24-Apr;1922;KO;9;Lew Brody;21;Y;brody;Brooklyn ;New York;USA;Light;"New York Times, April 25, 1922; Clearfield (Pennsylvania) Progress, April 25, 1922; New York Times, April 26, 1922. Brody was knocked down three times in the fight, twice in the ninth round.  The referee stopped the fight. But it was too late: Brody died the following day without regaining consciousness. The attending doctor said cause of death was either skull fracture or concussion of the brain."; ;Pro;Brain injury;Ring;Blows: Misadventure; ;
William Hickman (Al McCoy);10-May;1922;KO;4;Robert Turney;21;;turney;San Francisco ;California;USA;Middle;"Lima (Ohio) News, May 11, 1922; San Francisco Chronicle, May 11, 1922; Lowell (Massachusetts) Sun,  May 23, 1922; Lima (Ohio) News, May 23, 1922. Turney was knocked down three times in the first three rounds, and was knocked out by a right uppercut in the fourth. He was carried from the ring, still unconscious, and taken to the hospital. Death was attributed to basal skull fracture. The referee (Billy Snailham), the promoter, the manager, and the surviving fighter were all charged with manslaughter. "; ;Pro;Brain injury;Ring;Misadventure; ;
William Steed;15-Jul;1922;Ldec;10;Joseph Johnson;18; ;johnson;Sydney;New South Wales;Australia;Welter;(Echua, Australia) Riverine Herald, July 17, 1922. Following the bout, Steed shook hands, then collapsed. He died on the way to the hospital.; ;Pro;;Ring;;;
Sam McVea;19-Jun;1922;Sparring;;"Donald ""Kid"" Kelly"; ;;kelly;Kingston;;Jamaica;Light;Kingston (Jamaica) Gleaner, June 21, 1922. Kelly had a major contest scheduled for July 5, 1922, and McVea was his sparring partner. After three rounds of sparring, Kelly complained of not feeling well, so he was taken to the hospital, where he died.; ;Pro;;Soon after;; ;
Tommy Gerrard (also Gerard);21-Jul;1922;Ldec;8;"Leslie W. ""Jackie"" Crawford";19;;crawford;Newark;New Jersey;USA;Feather;"New York Times, July 24, 1922, 13; San Antonio (Texas) Evening News, July 24, 1922. It was Crawford's second fight in a week. Crawford collapsed in his dressing room after the fight, and he died a few days later. Cause of death was brain hemorrhage."; ;Pro;Brain injury;Soon after;; ;
Louis Barale;8-Aug;1922;Draw;6;Young Labadie ;24;;labadie;Trenton ;New Jersey;USA;ND;"New York Times, August 13, 1922; Chicago Daily Tribune, August 13, 1922. After the fight, Labadie, a soldier stationed at Camp Dix, collapsed in the dressing room and died. Cause of death was hemorrhage of the brain, but the surgeon said that it was not caused by any blows during the bout."; ;Pro;Brain injury;Soon after;Misadventure; ;
Curly Parkes;19-Aug;1922;WKO;16;Frank Griffin;24;;griffin;Wollongong;New South Wales;Australia;Middle;"Melbourne (Australia) Argus, August 22, 1922; (Wellington) NZ Truth, September 2, 1922; (Wellington) NZ Truth, September 9, 1922. Griffin was the former middleweight champion of New Zealand. He moved to Australia in 1920, where he had eighteen more fights. At the end of this fight, both men were clearly exhausted, and the blow that knocked Parkes out was considered a lucky one. Griffin collapsed next day, and on August 21, he died of injuries."; ;Pro;;Soon after;; ;
Elmer Cross;4-Sep;1922;Sparring;;Louis Barrese;18;;barrese;Easton;Pennsylvania;USA;ND;"New York Times, September 22, 1922; Oakland Tribune, September 4, 1922. Five minutes after being knocked down, Barrese died. Cause of death was given as over-exertion."; ;Pro;Over-exertion;Soon after;; ;
"Lester ""Lett"" Philbin";4-Sep;1922;KO;1;John Esses;27;Y;esses;Toledo;Ohio;USA;Welter;"Lima (Ohio) News, September 6, 1922; Ancestry.com and Ohio Department of Health. Ohio Deaths, 1908-1932, 1938-1944, and 1958-2002 [database on-line]. Cause of death was cerebral hemorrhage."; ;Pro;Brain injury;Ring;; ;
Dummy Maxson;4-Sep;1922;KO;8;"Sam ""Kid"" Johnson";26;Y;johnson;Roscommon;Michigan;USA;Heavy;"Olean (New York) Evening Times, September 5, 1922; Indiana (Pennsylvania) Evening Gazette, September 5, 1922. Johnson had been an amateur boxing champion in the US Army during WWI. In this fight, during the eighth round, Johnson stopped, grasped the ropes, and then fell over dead. Cause of death was attributed to blows to the heart. Maxson was a deaf-mute from Brooklyn."; ;Pro;Cardiac;Ring;Misadventure; ;
Sammy Ciminella;28-Sep;1922;KO;6;Billy Light;;Y;light;McKeesport;Pennsylvania;USA;Welter;"New York Times, September 30, 1922; New York Times, October 3, 1922; Honolulu Advertiser, January 8, 1923. Light's head reportedly hit the floor hard. He died of brain injuries the following day. This was not Albert Wegleitner, a St. Paul welterweight of the late 1920s who also boxed as Billy Light."; ;Pro;Brain injury;Ring;; ;
"Maurice ""Morris"" Meola";14-Oct;1922;KO;4;Walter Welsh;23;;welsh;New York;New York;USA;Welter;"Lowell (Massachusetts) Sun, October 19, 1922; www.boxrec.com. Welsh was knocked to the floor during this fight, which took place at the 9th Regiment Armory on 14th Street. The following day, Welsh complained of feeling dizzy. Subsequently, he was admitted to Bellevue Hospital, where he died on October 18, 1922. Cause of death was concussion of the brain."; ;Pro;Brain injury;Later;; ;
Johnny Hughes;23-Nov;1922;Ldec;6;Charles Parsons;;;parsons;Carthage;Missouri;USA;Light;"Lincoln (Nebraska) Evening State Journal, November 24, 1922; Port Arthur (Texas) Daily News, November 24, 1922; Decatur (Illinois) Review, November 25, 1922; Jasper (Missouri) News, December 7, 1922. The venue was a National Guard function, so this may have been the Charles Parsons who served in the Missouri National Guard during 1916. Anyway, cause of death was listed as a blow over the heart and over-exertion. During the autopsy, Parson's+N804 lungs were noted to be affected by tuberculosis and pleurisy."; ;Pro;Pleurisy;Ring;Over-exertion; ;
Johnny Hannison;7-Dec;1922;TKO;4;Mike Vemity;18;;vemity;Akron;Ohio;USA;Bantam;"Newark (Ohio) Advocate, December 8, 1922; Newark (Ohio) Advocate, December 8, 1922; Mansfield (Ohio) News, December 8, 1922; Ancestry.com and Ohio Department of Health. Ohio Deaths, 1908-1932, 1938-1944, and 1958-2002 [database on-line]. The bout took place at the Akron Armory. Vemity was carried from the ring, and died about two hours later. Cause of death was cerebral hemorrhage."; ;Pro;Brain injury;Ring;Misadventure; ;
Whitten Windham;ND;1922;KO;;William Curtis McAdams;35;;mcadams;Jasper;Alabama;USA;ND;"Ancestry.com. World War I Draft Registration Cards, 1917-1918 [database on-line]; McAdams v. Windham, 208. Ala. 492, 94 So. 2d 742, 30 A.L.R. 194, Nov. 30, 1922. The two men were sparring bare-knuckle, as they had often done in the past. McAdams was struck hard over the heart. He staggered back,into the arms of a spectator, a man named Waltrop. He was then laid on the floor, where he died within minutes. Cause of death was ruled to have been the blow over the heart. The widow charged the survivor with assault, and the case ended up in the state supreme court. In its finding on behalf of Windham, the Alabama Supreme Court noted that ""it is a general rule of law that a blow thus inflicted in a friendly, mutual combat -- a mere sporting contest -- is not unlawfully inflicted."" Instead, as long as no one was guilty of reckless or negligent conduct, ""participants in a violent game have assumed the risk ordinarily incident to their sport."""; ;Amateur ;Cardiac;Ring;Misadventure; ;
Grant Clark (Kid Grant);8-Jan;1923;KO;8;"Lloyd ""Patsy"" White";22;Y;white;Columbus ;Ohio;USA;Middle;"Bellingham (Washington) Herald, January 12, 1923; Chicago Daily Tribune, January 12, 1923; Elyria (Ohio) Chronicle Telegram, January 12, 1923; New York Times, January 12, 1923. Cause of death was concussion of the brain. Mechanism of injury was attributed to White's head striking the floor as he fell. White was the son of the swimming coach at the University of Chicago, and the death caused the cancellation of a University of Chicago swim meet."; ;Pro;Brain injury;Ring;Fall: Misadventure; ;
ND;26-Jan;1923;KO; ;Eldridge C. Day;23;;day;New Haven;Connecticut;USA;ND;"New York Times, February 14, 1923; Lowell (Massachusetts) Sun, February 15, 1923. Day was a senior at Yale University. He complained of head pain following a boxing match in the university gym. He went to the hospital on February 1, 1923, and died there February 13. Cause of death was attributed to sleeping sickness.";;Pro;Brain injury;Ring;Sleeping sickness;;
H.B. Fetzer;30-Jan;1923;KO;3;Billy C. Zelley;18;;zelley;Montgomery;Alabama;USA;ND;Bellingham (Washington) Herald, January 31, 1923. Cause of death listed as acute dilation of heart.;;Amateur;Cardiac;Ring;; ;
Johnny Clinton;5-Feb;1923;KO;12;Antonio Petriano (Andy Thomas, Anthony Perino); ;Y;petriano;Brooklyn ;New York;USA;Welter;"Connellsville (Pennsylvania) Daily Courier, February 6, 1923; Olean (New York) Evening Times, February 6, 1923; New York Times, February 6, 1923; New York Times, February 7, 1923. Petriano was staggering in the eleventh, but his seconds let him fight. Then, at the start of the twelfth, he collapsed in the ring without a blow being struck. He was taken to hospital, where he subsequently died. Cause of death listed as concussion of the brain, and attributed to rapid weight loss."; ;Pro;Brain injury;Ring;Weight loss; ;
ND;6-Feb;1923;KO;;Wilfred Philibert; ;;philibert;St. Paul;Minnesota;USA;ND;"Stevens Point (Wisconsin) Daily Journal, February 10, 1923; Ancestry.com. Minnesota Death Index, 1908-2002 [database on-line]. The venue was the Rose Room. Cause of death was attributed to hemorrhage of the brain."; ;Pro;Brain injury;Ring;Misadventure; ;
Fred Archer;26-Feb;1923;Ldec;13;"Alfred George ""Alf"" Humphreys";27;;humphreys;London;London;England;Welter;"London Times, February 26, 1923; (Glasgow) Scotsman, March 2, 1923; Boxing, March 7, 1923, 468; Manchester (England) Guardian, May 9, 1923. Archer was an experienced professional, whereas Humphreys had two prior fights, and he took this one on three days notice. He had not been training. Seven-ounce gloves were worn. Throughout the fight, Humphreys was hit hard, and by the eleventh round, he was visibly weak. During the twelfth, he was knocked down, and during the thirteenth, the referee stopped the fight. Humphreys then collapsed. He died February 27 without regaining consciousness. Cause of death was concussion of the brain. At the inquest, it was determined that the ringside physician was a porter at the London Jewish Hospital who had assisted surgeons in the field during World War I. The jury ruled death by misadventure."; ;Pro;Brain injury;Ring;Misadventure; ;
Herbert Robinson;2-Mar;1923;KO;11;"William ""Billy"" Tapp"; ;Y;tapp;Nelson;;New Zealand;Light;Melbourne (Australia) Argus, March 5, 1923. Tapp was knocked down. His head hit the floor. He was taken to the hospital, still unconscious, and he died.; ;Pro;Brain injury;Ring;Fall; ;
"J. ""Young"" Taylor";3-Mar;1923;Ldec;6;Joseph Hornsby Rodden; ;;rodden;North Seaton;Northumberland;England;ND;"(Dublin) Irish Times, March 6, 1923; Manchester (England) Guardian, March 6, 1923. After the bout, Rodden stepped out of the ring. He told the doctor he did not feel well, so the doctor had him taken to the hospital, where he died. Death was attributed to blood pressure on the brain, associated with chronic meningitis. A doctor had been present at the fight and there was nothing improper in the bout, so no charges were filed."; ;Pro;Brain injury;Soon after;Natural causes; ;
Frank Dory;6-Mar;1923;KO;4;Elder E. Marotz (Eddie Mozart );22;;marotz;Marinette;Wisconsin;USA;Light;"(Oshkosh, Wisconsin) Daily Northwestern, March 7, 1923; Waterloo (Iowa) Evening Courier, March 7, 1923. The venue was the American Legion. Cause of death was attributed to concussion of the brain."; ;Pro;Brain injury;Ring;; ;
James Smith;12-Mar;1923;KO;;Fred Powers (Freddie McCue);26;;powers;Tacoma ;Washington;USA;Feather;"Modesto (California) Evening News, March 13, 1923; New York Times, March 13, 1923; Lethbridge (Alberta) Daily Herald, March 14, 1923. The venue was the Sound Social Club. After the fight, Powers complained his head hurt. He died on March 13. Cause of death was listed as brain hemorrhage."; ;Pro;Brain injury;Soon after;; ;
Harry Twist (Kid Runcorn, Young Harry Runcorn);16-Mar;1923;KO;;Weldon Howard (Handsome Happy); ;;howard;Moose Jaw;Saskatchewan;Canada;Welter;"Wayne Wilson collection; Portsmouth Daily Times, July 22, 1924; (Winnipeg) Manitoba Free Press, July 22, 1924. Howard, ""a negro fighter,"" was hit with an uppercut, and crashed to the floor. Cause of death was listed as fractured skull. "; ;Pro;Skull fracture;Ring;; ;
ND;27-Mar;1923;KO;10;Henry Charles Kingsley (Robert Skingsley); ; ;kingsley;Wokingham;Berkshire;England;ND;"Exeter (England) Western Times, March 28, 1923; Manchester (England) Guardian, March 31, 1923. Kingsley was a Territorial Army soldier participating in a boxing match at the local drill hall. He collapsed after the fight. He was taken home, where he died. Cause of death was listed as cerebral hemorrhage. The jury ruled misadventure."; ;Pro;Brain injury;Ring;Misadventure;;
Romolo Parboni;20-May;1923;KO;12;Pietro Mascena; ;;mascena;Genoa;;Italy;Light;"Manuel Velazquez collection; http://www.boxrec.com ";Italian;Pro;;Ring;; ;
Tom Heeney;4-Jun;1923;TKO;15;Cyril Whittaker;22;Y;whittaker;Auckland;;New Zealand;Heavy;"Townsville (Australia) Daily Bulletin, June 7, 1923; (Wellington, New Zealand) NZ Truth, June 19, 1923. The contest was for œ150 a side. Whittaker was knocked down in the third. He generally held his own, but was hit hard in the fourteenth round, and halfway through the fifteenth roundt, the referee stopped the fight. After leaving the ring, Whittaker collapsed. He was taken to hospital, where emergency surgery was done. He died next morning."; ;Pro;Brain injury;Soon after;; ;
Andre Giezes;13-Jun;1923;Ldec; ;Rampignon; ; ;rampignon;Paris; ;France;Light;Bisbane (Australia) Courier, June 18, 1923. Rampignon lost the fight, but apparently looked okay afterwards. A few hours later, he became ill. A doctor was called. He was dead by the time the doctor arrived. Cause of death was cerebral hemorrhage.; ;Pro;Brain injury;Soon after;;;
Conrad Becklund;19-Sep;1923;KO;2;Walter A. Groechel (Walter Gretchel);18;;groechel;Minneapolis;Minnesota;USA;ND;"Daily Illini (University of Illinois), September 21, 1923; Wisconsin Rapids (Wisconsin) Daily Tribune, September 20, 1923; (Lincoln) Nebraska State Journal, September 21, 1923; Janesville (Wisconsin) Daily Gazette, September 21, 1923; Minnesota Death Index, 1908-2002 [database on-line]. Provo, UT, USA: The Generations Network, Inc., 2001. Original data: State of Minnesota. Minnesota Death Index, 1908-1002. Minneapolis, MN, USA: Minnesota Department of Health. The bout was part of a fundraising event for a football team. Groechel collapsed to the floor during the second round, and he died soon after. Cause of death was attributed to a solar plexus blow."; ;Pro;;Ring;; ;
ND;24-Sep;1923;KO;;John T. Holly;48; ;holly;Newport;Rhode Island;USA;ND;"Boston Post, September 24, 1923; 1920; Newport (Rhode Island) Mercury, September 29, 1923. Holly, a Marine sergeant stationed at the Naval Torpedo Station, died after being punched above the heart. Cause of death was cardiac."; ;Amateur;Cardiac;Ring;; ;
Max Gornick;27-Oct;1923;KO;18;John Dunstan (Seaman Jack Dunstan); ; ;dunstan;Melbourne;Victoria;Australia;Heavy;"(Dublin) Irish Times, October 29, 1923; Port Arthur (Ontario) Daily News-Chronicle, October 29, 1923; Northern Territory Times and Gazette, October 30, 1923; Melbourne (Australia) Argus, November 2, 1923. Dunstan was knocked down by a blow to the head. He reportedly hit his head on the floor. He tried to stand up, then collapsed. He was counted out. Cause of death was attributed to cerebral hemorrhage. Dunstan had been heavyweight boxing champion of Britain's Grand Fleet before World War I, whereas Gornick was a middleweight."; ;Pro;Brain injury;Ring;Fall;"Referee: Val Quirk. Quirk was the referee for Melbourne Stadium from 1915-1931. He was also boxing referee for the Victorian Amateur Athletic Association from at least July 1913 to ? He retired May 1931, after twelve years at Melbourne, citing health reasons, but he had been trying to get a replacement for at least two years. He reportedly refereed at least 10,000 contests, pro and amateur, in his 16 years at Melbourne. First pro referee job was Hughie Mehegan v. Herb McCoy, Feb 27, 1915. Does not appear to be the Edward Valentine Quirk who served in the Australian Army during WWI and WWII, unless he never went overseas, because he refereed bouts at Melbourne Stadium during 1916 and 1917. Manager at the West Melbourne stadium was R.L. ""Dick"" Lean, who claimed to have promoted 13,000 boxing and wrestling matches between 1912 and 1939, and continued to promote at the West Melbourne Stadium. The structure was destroyed  by fire in 1955, but rebuilt for the 1956 Olympics. The new hall was renamed Festival Hall during the 1960s.";
Harald Nielsen;2-Nov;1923;TKO;3;W. V. Evans;;;evans;Copenhagen;;Denmark;Light;"London Times, November 5, 1923; Manchester (England) Guardian, Novemer 5, 1923; (Glasgow) Scotsman, November 7, 1923. This was an international competition. During the crossing to Denmark, Evans complained of headaches. During the fight, Evans, a police constable, was knocked down three times, so the fight was stopped. Evans then collapsed in the ring. He was taken to hospital, where he died. Cause of death was hemorrhage of the brain. "; ;Amateur;Brain injury;Ring;; ;
Eddie Lynagh;3-Nov;1923;KO;16;Frank Soady;;Y;soady;Brisbane;Queensland;Australia;Light;"Melbourne (Australia) Argus, November 7, 1923; Melbourne (Australia) Argus, November 14, 1923; Melbourne (Australia) Argus, January 9, 1924. About five seconds before the bell for the seventeenth round, Soady said he felt dizzy. Then he collapsed. He died nine days later. Cause of death was cerebral hemorrhage.";Queensland lightweight;Pro;Brain injury;Ring; ; ;
Thomas Reed;28-Nov;1923;Draw;6;John Thomas Madden;25;;madden;New York;New York;USA;Light;"Bellingham (Washington) Herald, December 5, 1923; Port Arthur (Ontario) Daily News-Chronicle, December 6, 1923; New York Times, December 6, 1923; National Cemetery Administration. U.S. Veterans Gravesites, ca.1775-2006 [database on-line]. Reed was a New York National Guardsman while Madden was a Marine private assigned to USS Wyoming. Madden collapsed in the ring after shaking hands at the end of the bout, and he died in in hospital on December 5. "; ;Pro;;Ring;; ;
Harold Perrau;3-Nov;1923;Ldec; ;Abdul Rahman bin Abbas; ;;rahman;Singapore; ;British Straits Settlements; ;"(Singapore) Straits Times, November 5, 1923; (Singapore) Free Press and Mercantile Advertiser, November 14, 1923. Rahman was getting the worst of the fight, and after the third round, the referee asked him if he wanted to stop. He did not. The fight went on. Afterwards, Rahman was found unconscious in the dressing room. He was carried by jinriiksha to his father's home, where he died the following morning. The coroner ruled cause of death was cerebral hemorrhage."; ;Pro;Brain injury;Soon after;;;
ND;Nov/;1923;Medical ;;"William John ""Mick"" Rutherford";30;Y;rutherford;Flinders Naval Base (today, HMAS Cerebus);Victoria;Australia;Light;Melbourne (Australia) Argus, November 9, 1923. Rutherford, a boxing instructor at the Flinders Naval Base (it did not become a Flinders Naval Depot until 1925) twisted his right ankle during a bout. The injury became infected, and doctors amputated the foot. On November 7, 1923, he died of surgical complications.; ;Pro;Surgical complications;Later; ; ;
Eloy Boyguro;ND;1923;KO;;Rafael Delgado;;;delgado;Parana;;Argentina;ND;Manuel Velazquez collection. Delgado's head reportedly struck the floor.;;Pro;;Ring;Fall; ;
"Charles ""Bud"" Taylor";11-Jan;1924;KO;12;Frank Doherty (Frankie Jerome);24;Y;doherty;New York;New York;USA;Bantam;"New York Times, January 14, 1924; Chicago Daily Tribune, January 14, 1924; (Oklahoma City) Oklahoman, January 15, 1924; Waterloo (Iowa) Evening Courier, January 16, 1924; Harold Barnes, ""Let's abolish boxing,"" Saturday Evening Post, October 25, 1958, 132. Doherty was knocked down at the end of the eleventh round, but was saved by the bell. At the start of the twelfth (and final scheduled) round, Taylor pinned Doherty in a corner and hit him at least seven times. Doherty went down, but got up at the count of seven. Taylor came in to hit him again, and the referee stopped the fight. Doherty's cornermen took him straight to Bellevue Hospital, where he died two days later. Cause of death was a ruptured blood vessel in the brain. Immediately following the announcement of this death, legislation was introduced into the New York assembly that called for the repeal of the Walker boxing law and the abolition of the boxing portion of the state athletic commission. The story published after the death was that Doherty had been badly beaten during a bout with Johnny Curtin just two weeks earlier, but he needed the money to pay bills associated with a new child. Consequently, he signed the contract for the fight with Taylor."; ;Pro;Brain injury;Ring;Prior injury; ;
Indalecio Ore;20-Jan;1924;KO;9;Felipe Perez; ;Y;perez;Chincha;;Peru;ND;(Lima, Peru) Diario La Chronica), January 26, 1924. Perez was from Spain, and he died a day after the fight.; ;Pro;;Ring;; ;
Frank Sweeney;1-Feb;1924;KO; ;John Luby;23;;luby;Brooklyn;New York;USA;Middle;"Fitchburg (Massachusetts) Sentinel, June 24, 1930; Kingston (New York) Daily Freeman, February 5, 1924. Death was due to hemorrhage and laceration of the brain."; ;Pro;Brain injury;Ring;; ;
"Jesse ""Pep"" Webster";5-Feb;1924;TKO;3;Edgar Hollingsworth (Ed Holly);;;hollingsworth;Stockton;California;USA;Welter;"San Francisco Chronicle, February 5, 1924; (Reno) Nevada State Journal, February 7, 1924; Oakland (California) Tribune, February 7, 1924; Oakland (California) Tribune, February 8, 1924; Fresno (California) Bee, February 9, 1924. The last blow in the fight was to the left side of the jaw that knocked Hollingsworth down. Hollingsworth died the following day. The medical examiner said the cause of death was cerebral hemorrhage, probably secondary to the fall. The promoter, Tommy Simpson, was arrested for staging a fight without a permit."; ;Pro;Brain injury;Ring;Fall; ;
ND;16-Feb;1924;KO;;Juan Morales;;;morales;Mendoza;;Argentina;ND;"New York Times, February 18, 1924; Charleston (West Virginia) Gazette, February 18, 1924: Washington Post, February 18, 1924. Morales died a few hours after the contest."; ;Pro;;Ring;; ;
